地域コード,都道府県,市区町村,総人口,総人口（男）,総人口（女）,日本人人口,日本人人口（男）,日本人人口（女）,15歳未満人口,15歳未満人口（男）,15歳未満人口（女）,15〜64歳人口,15〜64歳人口（男）,15〜64歳人口（女）,65歳以上人口,65歳以上人口（男）,65歳以上人口（女）,75歳以上人口,75歳以上人口（男）,75歳以上人口（女）,外国人人口,出生数,死亡数,転入者数（日本人移動者）,転出者数（日本人移動者）,世帯数,一般世帯数,一般世帯人員数,核家族世帯数,単独世帯数,65歳以上の世帯員のいる核家族世帯数,夫65歳以上、妻60歳以上の夫婦のみの世帯数,65歳以上世帯員の単独世帯数,婚姻件数,離婚件数,総面積（北方地域及び竹島を除く）,可住地面積,事業所数（民営）,事業所数（民営）（農業、林業）,事業所数（民営）（漁業）,事業所数（民営）（鉱業、採石業、砂利採取業）,事業所数（民営）（建設業）,事業所数（民営）（製造業）,事業所数（民営）（電気・ガス・熱供給・水道業）,事業所数（民営）（情報通信業）,事業所数（民営）（運輸業、郵便業）,事業所数（民営）（卸売業、小売業）,事業所数（民営）（金融業、保険業）,事業所数（民営）（不動産業、物品賃貸業）,事業所数（民営）（学術研究、専門・技術サービス業）,事業所数（民営）（宿泊業、飲食サービス業）,事業所数（民営）（生活関連サービス業、娯楽業）,事業所数（民営）（教育、学習支援業）,事業所数（民営）（医療、福祉）,事業所数（民営）（複合サービス事業）,事業所数（民営）（サービス業（他に分類されないもの））,従業者数（民営）,従業者数（民営）（農業、林業）,従業者数（民営）（漁業）,従業者数（民営）（鉱業、採石業、砂利採取業）,従業者数（民営）（建設業）,従業者数（民営）（製造業）,従業者数（民営）（電気・ガス・熱供給・水道業）,従業者数（民営）（情報通信業）,従業者数（民営）（運輸業、郵便業）,従業者数（民営）（卸売業、小売業）,従業者数（民営）（金融業、保険業）,従業者数（民営）（不動産業、物品賃貸業）,従業者数（民営）（学術研究、専門・技術サービス業）,従業者数（民営）（宿泊業、飲食サービス業）,従業者数（民営）（生活関連サービス業、娯楽業）,従業者数（民営）（教育、学習支援業）,従業者数（民営）（医療、福祉）,従業者数（民営）（複合サービス事業）,従業者数（民営）（サービス業（他に分類されないもの））,農家数（販売農家）,農家数（自給的農家）,一般行政部門職員数（市区町村）,経常収支比率（市町村財政）,実質公債費比率（市町村財政）,歳入決算総額（市町村財政）,地方税（市町村財政）,歳出決算総額（市町村財政）,民生費（市町村財政）,土木費（市町村財政）,教育費（市町村財政）,災害復旧費（市町村財政）,幼稚園数,幼稚園在園者数,小学校数,小学校教員数,小学校児童数,中学校数,中学校教員数,中学校生徒数,義務教育学校数,義務教育学校教員数,義務教育学校前期課程児童数,義務教育学校後期課程生徒数,高等学校数,高等学校生徒数,就業者数,就業者数（男）,就業者数（女）,完全失業者数,完全失業者数（男）,完全失業者数（女）,非労働力人口,非労働力人口（男）,非労働力人口（女）,第１次産業就業者数,第２次産業就業者数,第３次産業就業者数,公民館数,図書館数,総人口（非水洗化人口＋水洗化人口）,非水洗化人口,小売店数,飲食店数,大型小売店数,一般病院数,一般診療所数,歯科診療所数,医師数,歯科医師数,薬剤師数,保育所等数（基本票）
R07207,福島県,須賀川市,74992,36781,38211,73901,36225,37676,9537,4845,4692,43226,22033,21193,21188,9340,11848,9995,3865,6130,375,454,981,1706,1988,27127,27081,73654,15038,6848,6357,2812,2644,223,86,27943,16047,3080,24,0,2,365,277,9,16,92,748,50,115,89,318,312,106,305,24,228,28698,190,0,5,2460,6929,134,176,2052,5676,485,415,404,2005,1298,555,3538,454,1922,2452,541,457,91.9,8.3,42043954,9433131,40940842,15021907,3629855,4576139,1147158,5,257,16,262,3658,9,174,1966,1,21,168,92,3,1820,36594,20144,16450,1411,917,494,21033,7537,13496,2782,10919,20929,8,3,74749,8674,568,273,14,5,52,36,127,46,122,21
R07208,福島県,喜多方市,44760,21438,23322,44542,21372,23170,4905,2506,2399,23375,11939,11436,16479,6992,9487,9063,3216,5847,216,224,921,900,960,16049,16016,42948,8177,4185,4406,1932,2274,125,66,55463,18148,2110,36,0,3,236,217,8,8,38,536,22,67,55,267,218,55,163,24,157,16557,328,0,9,1402,4333,41,73,447,2955,234,169,220,1251,514,193,3430,268,690,2260,910,419,92.3,6.8,31256901,4801184,30293150,10063952,4092209,2843786,143114,4,113,17,213,2090,7,110,1081,0,0,0,0,2,751,22149,12018,10131,782,532,250,14775,5314,9461,2418,6445,12344,16,1,45320,11767,455,207,6,5,28,21,48,32,53,20
R07209,福島県,相馬市,34865,17536,17329,34349,17265,17084,4215,2167,2048,19325,10274,9051,10792,4716,6076,5321,2009,3312,178,186,493,806,1019,13875,13859,34511,6763,4665,3242,1523,1658,126,40,19779,9175,1624,17,1,2,179,122,8,5,30,423,28,84,54,225,156,38,118,19,115,14399,154,10,11,1450,3901,101,18,554,2961,281,273,191,1204,596,192,1624,242,636,674,274,216,89.9,11.5,23788048,5127659,22465385,6042791,2050245,2052951,1777936,8,254,9,151,1775,4,90,909,0,0,0,0,2,993,17146,9881,7265,594,385,209,10444,3676,6768,1317,5524,9487,9,1,33500,5251,349,173,7,2,23,18,57,29,58,6
R07210,福島県,二本松市,53557,26305,27252,53129,26137,26992,5760,2939,2821,29073,14917,14156,18406,8244,10162,9191,3509,5682,344,270,894,970,1316,19384,19359,52638,10150,4901,5417,2371,2153,128,58,34442,19036,2329,41,0,3,339,250,4,4,56,560,24,161,52,215,210,48,156,22,184,22249,286,0,11,2628,7210,9,11,1303,3725,332,396,246,1472,860,411,2122,270,957,2097,1579,378,88.3,8.9,37900804,6345086,35411568,11686358,4036777,3653296,1606437,13,246,16,210,2332,7,115,1199,0,0,0,0,2,773,27361,15249,12112,1189,792,397,17431,6300,11131,2376,9457,15055,20,2,52319,1121,462,158,4,3,38,20,77,23,75,15
R07211,福島県,田村市,35169,17320,17849,34719,17136,17583,3626,1809,1817,18763,9789,8974,12609,5613,6996,6926,2592,4334,311,115,656,584,796,12159,12130,34324,5869,3027,3360,1440,1414,87,30,45833,15442,1569,22,2,3,282,162,5,2,38,412,14,41,41,104,152,21,121,22,125,13202,315,7,33,1749,4284,8,5,527,2485,88,110,140,644,455,141,1454,196,561,1882,1261,279,84,8.3,29980369,3823918,26277126,6402804,2070132,2220667,917416,9,154,7,119,1439,6,90,828,0,0,0,0,1,249,18168,10279,7889,911,632,279,11840,4250,7590,2437,6872,8748,15,5,34452,4663,359,71,4,1,31,13,24,17,35,6
R07212,福島県,南相馬市,59005,31015,27990,57406,29911,27495,5099,2577,2522,30626,16953,13673,20796,9335,11461,10392,4046,6346,403,265,931,1650,1901,26349,25177,56985,11243,9862,6341,3146,3169,212,79,39858,18449,2592,40,0,3,333,231,15,18,63,626,53,165,108,242,236,54,193,22,190,22742,432,0,16,3666,4058,254,36,1382,4440,467,535,647,1369,809,221,2546,294,1570,705,604,517,91,9.1,61672374,9738736,54986220,12415332,3739443,4584020,1920747,12,459,12,201,2110,6,120,1045,0,0,0,0,3,1061,26786,16293,10493,1364,956,408,20628,7540,13088,1461,8544,16098,0,4,57797,2760,489,173,8,4,40,24,92,35,104,10
R07213,福島県,伊達市,58240,28313,29927,57779,28144,29635,5961,2958,3003,31100,15927,15173,21008,9304,11704,11036,4361,6675,401,223,986,1219,1289,21158,21127,57023,12145,4790,6755,2993,2534,135,54,26512,13287,2398,26,0,0,343,234,1,4,68,605,20,183,53,171,233,47,188,38,184,19083,259,0,0,1810,4533,1,8,1327,3915,219,295,223,759,868,449,3184,220,1013,2136,1732,421,94.4,7.8,37699417,5492204,34945726,11054713,2233430,4124086,779068,5,126,12,220,2487,6,114,1252,0,0,0,0,2,928,29475,16272,13203,1425,962,463,19383,7018,12365,3674,8879,16352,0,1,57754,8523,508,142,6,2,47,21,84,25,99,11
R07214,福島県,本宮市,30236,15018,15218,30050,14942,15108,3881,2032,1849,17765,9196,8569,8579,3784,4795,4284,1640,2644,186,188,362,953,923,10571,10557,29616,5792,2590,2439,1010,907,112,35,8802,6071,1305,6,0,2,196,149,0,5,95,312,11,96,41,94,97,20,94,6,81,16343,53,0,7,1307,5694,0,18,2933,2852,141,217,292,510,312,71,1288,82,566,881,445,200,87.7,5.7,20241591,4470408,18729752,5747509,3469118,1913261,643038,6,259,7,132,1636,3,75,848,0,0,0,0,1,251,15237,8453,6784,636,391,245,9056,3331,5725,722,5161,8842,13,1,29835,1683,229,80,5,1,14,14,24,17,50,8
R07301,福島県,桑折町,11459,5491,5968,11413,5475,5938,1200,605,595,5895,2979,2916,4347,1897,2450,2353,932,1421,35,56,251,283,280,4194,4181,11129,2331,1014,1311,582,551,19,20,4297,2456,438,6,0,0,61,45,0,2,13,101,6,31,11,26,30,15,30,7,54,5205,57,0,0,353,2407,0,3,279,674,49,89,29,199,53,23,506,47,437,486,243,85,88.1,9.2,7041668,1353792,6431122,1736315,465007,818709,599665,1,200,4,54,490,1,22,242,0,0,0,0,0,0,5760,3177,2583,242,153,89,3935,1377,2558,733,1581,3326,4,0,11270,1135,80,18,0,0,7,7,6,9,12,1
R07303,福島県,国見町,8639,4114,4525,8580,4105,4475,727,366,361,4268,2129,2139,3642,1618,2024,1889,742,1147,59,22,139,156,215,3123,3119,8492,1759,670,1145,524,454,10,10,3795,2347,297,5,0,0,48,27,1,1,8,92,2,11,6,15,25,3,15,7,31,2515,58,0,0,189,713,8,1,172,699,20,22,15,141,54,3,284,34,102,532,242,87,82.8,3.2,8084695,961834,7320492,1553421,532738,871713,633377,1,103,1,23,271,1,19,174,0,0,0,0,0,0,4263,2308,1955,242,167,75,3316,1226,2090,684,1093,2462,1,0,8303,341,83,9,3,1,3,3,49,6,34,1
