地域コード,都道府県,市区町村,総人口,総人口（男）,総人口（女）,日本人人口,日本人人口（男）,日本人人口（女）,15歳未満人口,15歳未満人口（男）,15歳未満人口（女）,15〜64歳人口,15〜64歳人口（男）,15〜64歳人口（女）,65歳以上人口,65歳以上人口（男）,65歳以上人口（女）,75歳以上人口,75歳以上人口（男）,75歳以上人口（女）,外国人人口,出生数,死亡数,転入者数（日本人移動者）,転出者数（日本人移動者）,世帯数,一般世帯数,一般世帯人員数,核家族世帯数,単独世帯数,65歳以上の世帯員のいる核家族世帯数,夫65歳以上、妻60歳以上の夫婦のみの世帯数,65歳以上世帯員の単独世帯数,婚姻件数,離婚件数,総面積（北方地域及び竹島を除く）,可住地面積,事業所数（民営）,事業所数（民営）（農業、林業）,事業所数（民営）（漁業）,事業所数（民営）（鉱業、採石業、砂利採取業）,事業所数（民営）（建設業）,事業所数（民営）（製造業）,事業所数（民営）（電気・ガス・熱供給・水道業）,事業所数（民営）（情報通信業）,事業所数（民営）（運輸業、郵便業）,事業所数（民営）（卸売業、小売業）,事業所数（民営）（金融業、保険業）,事業所数（民営）（不動産業、物品賃貸業）,事業所数（民営）（学術研究、専門・技術サービス業）,事業所数（民営）（宿泊業、飲食サービス業）,事業所数（民営）（生活関連サービス業、娯楽業）,事業所数（民営）（教育、学習支援業）,事業所数（民営）（医療、福祉）,事業所数（民営）（複合サービス事業）,事業所数（民営）（サービス業（他に分類されないもの））,従業者数（民営）,従業者数（民営）（農業、林業）,従業者数（民営）（漁業）,従業者数（民営）（鉱業、採石業、砂利採取業）,従業者数（民営）（建設業）,従業者数（民営）（製造業）,従業者数（民営）（電気・ガス・熱供給・水道業）,従業者数（民営）（情報通信業）,従業者数（民営）（運輸業、郵便業）,従業者数（民営）（卸売業、小売業）,従業者数（民営）（金融業、保険業）,従業者数（民営）（不動産業、物品賃貸業）,従業者数（民営）（学術研究、専門・技術サービス業）,従業者数（民営）（宿泊業、飲食サービス業）,従業者数（民営）（生活関連サービス業、娯楽業）,従業者数（民営）（教育、学習支援業）,従業者数（民営）（医療、福祉）,従業者数（民営）（複合サービス事業）,従業者数（民営）（サービス業（他に分類されないもの））,農家数（販売農家）,農家数（自給的農家）,一般行政部門職員数（市区町村）,経常収支比率（市町村財政）,実質公債費比率（市町村財政）,歳入決算総額（市町村財政）,地方税（市町村財政）,歳出決算総額（市町村財政）,民生費（市町村財政）,土木費（市町村財政）,教育費（市町村財政）,災害復旧費（市町村財政）,幼稚園数,幼稚園在園者数,小学校数,小学校教員数,小学校児童数,中学校数,中学校教員数,中学校生徒数,義務教育学校数,義務教育学校教員数,義務教育学校前期課程児童数,義務教育学校後期課程生徒数,高等学校数,高等学校生徒数,就業者数,就業者数（男）,就業者数（女）,完全失業者数,完全失業者数（男）,完全失業者数（女）,非労働力人口,非労働力人口（男）,非労働力人口（女）,第１次産業就業者数,第２次産業就業者数,第３次産業就業者数,公民館数,図書館数,総人口（非水洗化人口＋水洗化人口）,非水洗化人口,小売店数,飲食店数,大型小売店数,一般病院数,一般診療所数,歯科診療所数,医師数,歯科医師数,薬剤師数,保育所等数（基本票）
R17210,石川県,白山市,110408,53670,56738,108485,52493,55992,15154,7596,7558,63630,31948,31682,30899,13742,17157,14563,5880,8683,1402,749,1200,2722,2596,40958,40888,108685,26262,9421,10821,5700,3611,353,144,75492,19770,4542,91,2,5,609,656,6,46,167,974,55,144,185,413,351,141,334,32,331,57952,885,2,33,3599,21121,116,789,5272,10113,464,565,1002,3142,1306,1458,3870,632,3583,662,460,553,88.2,11,63764396,19490628,61589931,19957710,7545393,8337144,9449,5,576,19,416,6085,10,231,3116,0,0,0,0,4,902,58105,31492,26613,1986,1235,751,32695,12008,20687,1502,18941,37082,28,5,112885,1658,720,296,13,4,69,30,162,42,278,31
R17211,石川県,能美市,48523,24129,24394,47278,23328,23950,6811,3510,3301,28783,14897,13886,12692,5555,7137,6404,2568,3836,1134,331,518,1389,1377,18192,18158,47715,10913,4828,4225,2191,1529,187,52,8414,4853,2039,27,0,0,265,447,1,17,51,439,16,63,88,143,135,83,123,17,124,23083,143,0,0,1255,11108,4,250,972,3109,132,266,592,843,559,921,2092,225,612,300,104,398,88.4,3.7,25159808,8651874,24253715,9126245,2219337,2578198,0,0,0,8,189,2712,3,100,1457,0,0,0,0,1,299,25301,13777,11524,811,491,320,13964,5419,8545,432,9996,14597,4,3,49710,598,321,121,4,3,29,11,77,16,83,15
R17212,石川県,野々市市,57238,29550,27688,55606,28658,26948,8322,4279,4043,35979,19327,16652,11203,4837,6366,5332,2041,3291,473,524,423,3133,3227,26200,26159,55610,12486,11772,3746,1942,1587,335,96,1356,1356,2298,3,0,0,206,106,2,18,47,618,41,184,101,292,272,88,191,11,118,25374,8,0,0,1451,1902,5,200,1213,8166,331,607,547,3624,1352,1416,3028,90,1434,97,98,270,89.8,7,21796205,7921648,21088515,9494837,1686586,2576010,0,1,90,5,184,3271,2,99,1547,0,0,0,0,1,830,28707,15805,12902,925,564,361,14304,5951,8353,304,7498,20203,5,1,54108,56,449,241,24,3,55,27,101,39,137,17
R17324,石川県,川北町,6135,3030,3105,6072,2986,3086,1057,566,491,3630,1818,1812,1448,646,802,734,286,448,63,49,42,104,145,1915,1913,6046,1319,250,411,220,130,15,3,1464,1464,252,6,0,4,40,65,1,0,10,43,3,6,5,10,16,11,14,2,16,3587,37,0,25,191,1982,2,0,203,760,10,8,55,50,44,15,124,21,60,101,54,69,89.6,9,4124208,1272822,4049446,1134858,286389,505495,0,0,0,3,47,402,1,23,227,0,0,0,0,0,0,3189,1701,1488,88,46,42,1801,717,1084,141,1171,1873,1,1,6150,0,27,6,2,0,3,3,1,3,4,3
R17361,石川県,津幡町,36957,18044,18913,36527,17789,18738,5057,2627,2430,22675,11315,11360,9040,3977,5063,4349,1704,2645,275,255,413,1002,988,13399,13361,36179,8773,2855,3078,1551,1121,133,48,11059,5425,1072,23,0,0,161,134,1,4,13,209,7,41,31,93,110,44,114,8,79,9469,245,0,0,848,2726,5,8,207,2195,92,167,80,649,395,429,1008,109,306,315,220,179,85.6,7.7,17368237,4318587,16950053,5350210,1875806,1433527,22253,1,58,9,162,2059,2,75,1048,0,0,0,0,1,313,19426,10406,9020,625,351,274,10205,3767,6438,440,5442,13194,10,1,37546,410,176,71,6,2,21,10,36,14,43,10
R17365,石川県,内灘町,26574,12774,13800,25988,12461,13527,3305,1714,1591,15554,7619,7935,7081,3107,3974,3465,1405,2060,320,150,266,688,700,10802,10780,26056,6254,3446,2565,1347,1025,69,30,2033,1661,809,7,0,0,156,76,2,4,16,143,11,26,28,78,104,43,76,6,33,6718,64,0,0,555,394,3,6,142,916,63,44,122,359,311,226,3309,23,181,48,72,128,83.3,8.1,11262211,2655808,11108604,4430200,1083161,1292869,0,0,0,7,117,1412,2,48,735,0,0,0,0,1,153,12947,6733,6214,439,269,170,7992,3062,4930,149,3409,9239,18,1,26179,78,115,66,2,2,14,9,369,27,108,9
R17384,石川県,志賀町,18630,8878,9752,18467,8836,9631,1656,814,842,8605,4450,4155,8312,3571,4741,4327,1619,2708,163,60,359,246,403,7447,7427,18095,3932,2110,2576,1562,1224,35,18,24676,8553,983,37,8,1,151,111,2,3,20,203,7,14,27,119,81,20,52,20,107,8317,399,124,4,933,2408,514,6,211,1055,58,70,230,552,264,117,687,151,534,743,547,204,90.9,8.6,15279491,4365123,14972312,4177599,1667869,1030585,5390,0,0,2,50,670,2,36,361,0,0,0,0,1,100,9188,5047,4141,262,172,90,7465,2801,4664,873,2884,5430,17,2,18569,526,183,68,1,2,11,6,21,6,22,4
R17386,石川県,宝達志水町,12121,5718,6403,11944,5664,6280,1081,537,544,6236,3122,3114,4795,2053,2742,2453,922,1531,173,42,239,182,255,4428,4411,11744,2539,1004,1519,803,607,31,10,11151,4160,448,21,0,1,59,80,0,2,6,80,4,4,4,38,47,3,37,7,55,4080,180,0,9,383,1530,0,3,118,589,17,18,8,192,218,9,639,42,125,308,190,102,85.7,6.5,9645163,1854128,8803704,2558060,1064293,810209,63960,0,0,5,66,422,1,20,252,0,0,0,0,1,112,6073,3265,2808,219,151,68,4616,1690,2926,427,2121,3484,1,1,12303,337,70,25,1,1,4,3,8,5,27,4
R17407,石川県,中能登町,16540,7977,8563,16361,7925,8436,1968,1030,938,8418,4276,4142,6147,2665,3482,3208,1244,1964,179,76,247,251,331,6103,6093,16208,3596,1396,1980,1051,856,36,13,8945,3909,671,16,0,1,79,128,1,2,17,153,5,12,14,50,66,14,47,9,57,4650,105,0,5,268,1803,1,2,219,886,45,25,67,227,166,62,569,65,135,308,251,185,89.8,11.3,11486833,1754487,10853884,3428012,1498764,992095,3248,1,0,3,63,778,1,33,461,0,0,0,0,1,331,8186,4378,3808,267,183,84,5876,2257,3619,378,2663,4943,3,3,17152,780,137,43,1,0,6,6,7,10,9,6
R17461,石川県,穴水町,7890,3793,4097,7781,3732,4049,555,311,244,3400,1827,1573,3872,1607,2265,2172,751,1421,80,30,198,152,185,3288,3267,7152,1670,1144,1134,642,676,17,7,18321,4902,544,15,0,0,48,27,0,4,14,140,6,16,15,71,51,15,36,12,74,3218,181,0,0,255,356,0,10,130,645,24,60,65,281,125,73,685,124,204,227,270,83,84.7,8.7,9201604,936557,8766992,1660617,559706,453848,2684,0,0,2,25,207,1,17,114,0,0,0,0,1,98,3441,1912,1529,152,108,44,3579,1359,2220,350,701,2382,4,1,7616,112,119,45,0,1,11,4,21,4,22,4
R17463,石川県,能登町,15687,7377,8310,15581,7302,8279,1154,598,556,6621,3459,3162,7910,3318,4592,4403,1573,2830,106,51,383,231,351,6458,6423,14890,3339,1932,2370,1380,1346,25,12,27327,7063,979,22,18,2,135,77,0,4,21,257,15,24,22,100,83,18,61,15,105,5120,157,219,11,688,605,0,15,147,1053,146,52,83,425,179,78,861,118,283,521,526,192,87.2,5.5,16821985,1560001,16497739,3148873,1678783,1014786,30335,0,0,5,70,448,4,49,248,0,0,0,0,1,171,7284,3984,3300,296,222,74,6937,2564,4373,967,1546,4749,18,2,15741,3330,231,65,0,2,10,5,23,5,27,6
R18201,福井県,福井市,262328,127867,134461,255176,124372,130804,33046,17092,15954,148658,75252,73406,75805,32656,43149,39768,15591,24177,3879,1791,3311,5547,6426,104470,104190,254396,54902,34464,23273,11959,11323,1099,314,53637,21696,15338,76,5,9,1493,1311,15,192,320,3893,379,763,826,1813,1324,455,1079,92,1293,149002,1249,35,56,11252,20001,725,3307,7801,32160,5509,3197,4470,12276,5855,6185,19988,1263,13673,2179,1208,1407,87,10.5,125728159,45559423,121633662,50475402,16336535,9599679,399662,21,349,53,954,12753,29,624,7076,1,39,391,317,13,10486,134244,71774,62470,3947,2405,1542,74708,27759,46949,2504,33779,93861,56,6,258286,1229,2598,1563,51,23,254,135,1004,193,687,94
R18202,福井県,敦賀市,64264,31785,32479,62655,31094,31561,8110,4160,3950,36222,18717,17505,18473,8056,10417,9260,3558,5702,734,405,927,1582,1935,27849,27769,62950,15514,9863,6523,3485,3398,256,86,25147,5344,3184,10,0,0,465,165,9,23,104,763,56,133,138,498,248,64,207,17,284,31278,205,0,0,3975,3835,473,241,2323,5658,569,655,1734,3044,937,583,3638,342,3066,345,412,457,91.2,5.3,47312447,13187422,44686519,11596377,4268969,3737004,0,4,134,11,229,3255,6,142,1727,0,0,0,0,4,1714,32012,18072,13940,1035,634,401,19278,6738,12540,490,8813,22186,9,1,63797,7843,562,365,7,3,50,23,145,33,135,21
R18204,福井県,小浜市,28991,14317,14674,27905,13830,14075,3479,1799,1680,15326,8067,7259,9278,3964,5314,5009,1834,3175,278,215,444,689,853,12082,12056,28198,6116,4307,2922,1532,1530,96,32,23311,4262,1722,34,1,0,198,144,1,12,22,433,34,69,72,230,158,44,90,23,157,12613,451,8,0,1061,1857,2,65,350,3042,369,173,742,1155,587,213,1339,283,916,413,410,236,91.4,11.7,19863452,3694860,18981776,5603988,1982238,1360237,0,0,0,9,140,1426,2,64,751,0,0,0,0,2,1160,14193,7945,6248,342,218,124,8487,3053,5434,567,3786,9494,13,2,28392,1290,326,155,5,2,18,9,77,17,56,13
R18205,福井県,大野市,31286,14997,16289,30786,14838,15948,3346,1688,1658,16078,8148,7930,11680,5033,6647,6206,2302,3904,469,146,575,436,625,10868,10689,30081,5443,2465,3089,1583,1280,84,38,87243,12804,1737,51,2,0,264,185,3,6,24,391,28,33,48,203,162,39,147,15,136,12482,779,10,0,1605,2796,107,18,252,2232,254,131,246,681,549,267,1707,145,703,881,346,227,90.1,8,20367389,3891978,19407678,5971356,2226985,1822740,45951,6,15,9,128,1352,5,82,669,0,0,0,0,2,725,16964,9062,7902,422,269,153,9907,3602,6305,1250,5502,9929,9,1,31122,2025,339,165,6,4,22,9,27,14,33,13
R18206,福井県,勝山市,22150,10581,11569,21856,10506,11350,2468,1272,1196,11304,5624,5680,8275,3591,4684,4339,1612,2727,277,110,378,289,425,7524,7485,21277,3813,1752,2207,1055,1002,55,20,25388,5322,1091,18,1,0,150,146,1,6,16,256,15,21,30,135,108,32,67,10,79,8633,340,2,0,752,2736,9,43,156,1309,102,51,95,672,258,232,1545,81,250,550,280,146,85,8.4,14397133,2681339,13931945,4146082,1351428,1477622,145,1,13,10,118,984,4,64,539,0,0,0,0,1,327,11491,5984,5507,304,221,83,7295,2765,4530,599,3818,6654,9,1,21917,2476,226,100,2,1,12,8,43,12,48,11
R18207,福井県,鯖江市,68302,33323,34979,67087,32737,34350,9599,4894,4705,39408,19913,19495,18757,8187,10570,9552,3855,5697,787,489,814,1626,1783,23915,23870,66548,13809,5575,5534,2594,2061,261,80,8459,5311,3399,22,0,0,258,973,1,17,48,737,51,85,105,300,266,83,200,23,230,30197,221,0,0,1575,10921,2,356,713,5676,604,218,466,2348,983,430,4206,308,1170,412,280,319,85.3,6,30360382,9243875,29162614,11740287,2824214,2652215,0,4,82,12,259,3812,3,140,2093,0,0,0,0,1,812,35021,18633,16388,910,573,337,19000,7186,11814,531,13675,19992,10,1,69053,4848,521,246,8,6,40,25,124,38,107,22
R18208,福井県,あわら市,27524,13067,14457,26977,12827,14150,2984,1509,1475,14873,7425,7448,9349,3959,5390,4725,1730,2995,466,149,429,489,638,9933,9907,26635,4936,2741,2597,1270,1223,89,19,11698,7051,1242,44,0,2,140,160,1,3,36,273,18,20,38,180,110,40,76,11,90,12932,559,0,9,683,4537,0,11,529,1648,127,77,139,1574,567,354,1517,121,480,445,239,230,83.6,6.7,18846772,4535521,17604285,5124732,3343548,1618336,39259,0,0,10,114,1164,2,57,612,0,0,0,0,1,651,14287,7536,6751,529,347,182,8433,2994,5439,847,4651,8620,9,2,26925,237,229,128,2,3,16,8,40,15,46,12
R18209,福井県,越前市,80611,39657,40954,75526,37034,38492,10151,5288,4863,45994,23525,22469,23740,10381,13359,12380,4895,7485,4649,495,1041,1682,1644,29634,29578,79045,15898,8129,6841,3452,2882,278,81,23070,8879,4151,48,1,1,454,610,7,23,84,1056,63,155,133,386,342,113,263,33,379,42890,481,12,10,2736,16284,89,145,1684,6732,641,545,677,2385,1015,990,4331,470,3663,1122,618,446,90,10.2,41698275,13489094,40532983,13599871,4575248,4425588,17339,11,205,17,306,3997,8,186,2134,0,0,0,0,3,2231,42876,23174,19702,1216,762,454,22881,8432,14449,1043,18778,21976,18,2,81315,2722,768,337,13,6,48,31,102,42,132,24
R18210,福井県,坂井市,88481,42719,45762,86348,41736,44612,11535,5878,5657,50701,25321,25380,25434,11135,14299,12916,5097,7819,1409,536,1067,1832,1880,31067,31008,86873,17475,7316,7533,3773,2716,299,90,20967,13606,3592,65,8,1,414,575,7,42,115,880,39,83,125,338,303,86,209,33,269,35608,691,61,1,2610,11064,124,914,2000,6852,489,246,1018,2287,1105,445,3597,739,1365,1311,365,587,89.6,7,49339357,12385480,47380415,15989820,3377046,5717309,10403,12,42,19,352,4675,5,190,2492,0,0,0,0,3,1502,46022,24404,21618,1581,1004,577,25055,9222,15833,1739,15592,28591,26,4,89585,2046,705,270,11,4,47,26,81,33,108,33
R18322,福井県,永平寺町,18965,9231,9734,18546,9033,9513,2127,1064,1063,10848,5485,5363,5640,2471,3169,3014,1145,1869,236,105,269,404,442,7285,7163,18555,3314,2411,1598,742,554,50,22,9443,2578,699,15,0,1,98,116,0,3,16,133,8,37,23,61,60,23,40,7,58,7893,289,0,10,621,1199,0,16,232,896,53,75,95,331,164,1565,1924,31,392,253,239,164,93.6,7.9,10334458,2079004,9836153,3096115,1068574,1043646,4822,1,17,7,91,819,3,53,488,0,0,0,0,0,0,9955,5316,4639,301,195,106,5902,2293,3609,295,2611,6877,8,3,18077,137,115,47,2,1,11,7,420,21,88,8
R18382,福井県,池田町,2423,1196,1227,2409,1183,1226,195,103,92,1150,620,530,1078,473,605,660,253,407,14,9,47,32,81,948,945,2374,425,310,300,150,167,9,1,19465,1755,151,12,0,0,23,30,0,1,3,27,1,0,4,15,11,1,5,3,15,932,137,0,0,122,210,0,1,20,109,1,0,7,62,35,1,122,18,87,110,123,46,74.8,6.2,4015994,247026,3356343,487743,451859,260874,1776,0,0,1,11,70,1,12,41,0,0,0,0,0,0,1304,721,583,21,13,8,884,349,535,124,458,719,1,1,2338,0,26,12,0,0,4,1,2,2,0,1
R18404,福井県,南越前町,10002,4804,5198,9945,4781,5164,1163,626,537,5072,2582,2490,3767,1596,2171,2087,748,1339,57,45,176,151,234,3266,3257,9686,1698,659,967,499,439,32,11,34369,3034,382,18,3,2,55,31,0,0,8,68,3,3,10,61,27,16,35,9,33,2596,203,66,35,283,481,0,0,50,434,12,5,20,264,64,47,456,69,107,228,253,140,85,3.4,10350809,1305099,9885258,1961227,1589189,1205837,18096,0,0,4,52,450,1,23,258,0,0,0,0,0,0,5088,2712,2376,220,158,62,3444,1259,2185,291,1803,2963,10,3,9850,276,65,36,1,0,8,2,9,2,2,4
R18423,福井県,越前町,20118,9725,10393,19943,9616,10327,2327,1175,1152,10595,5397,5198,7177,3138,4039,3709,1376,2333,174,105,368,307,381,6581,6566,19377,3638,1282,1954,926,757,66,14,15315,3947,967,22,4,0,148,157,0,3,13,223,12,12,20,111,68,18,59,14,83,6753,200,55,0,617,2157,0,9,94,1114,71,30,47,610,141,73,1125,89,321,424,390,175,95.1,8.8,15030109,2285667,14316478,3627234,1301663,1523432,190604,0,0,8,104,916,4,63,561,0,0,0,0,1,328,10351,5591,4760,351,226,125,6733,2536,4197,682,3667,5915,5,4,20229,885,202,51,1,2,9,5,17,7,21,12
R18442,福井県,美浜町,9179,4610,4569,9062,4567,4495,997,536,461,4816,2630,2186,3294,1400,1894,1720,635,1085,70,71,151,224,300,3745,3738,9004,1908,1234,1037,553,502,40,10,15235,2562,483,11,5,0,75,29,3,6,10,78,4,11,19,87,36,4,28,8,69,4885,114,43,0,976,287,1010,22,104,437,30,42,204,402,106,24,346,47,691,198,220,131,78.1,8.3,12454718,4272916,11200637,1788566,1069574,1011290,0,0,0,3,43,375,1,24,199,0,0,0,0,0,0,4921,2888,2033,141,95,46,2924,988,1936,326,1050,3497,7,1,9035,1402,61,28,0,0,10,3,6,4,3,3
R18481,福井県,高浜町,10326,5424,4902,10119,5344,4775,1201,620,581,5571,3111,2460,3285,1449,1836,1740,671,1069,144,58,145,249,337,4500,4491,10149,2256,1738,1056,546,567,34,14,7240,1911,522,12,1,0,92,26,1,1,12,83,5,13,18,122,40,11,19,13,53,5175,295,10,0,1230,348,567,4,111,469,39,40,223,525,108,47,538,87,534,195,245,142,83.7,8.2,13931538,4743982,13016118,3331421,2123894,968270,0,0,0,5,53,450,2,33,258,0,0,0,0,0,0,5554,3332,2222,112,74,38,2808,960,1848,333,1429,3586,4,1,9878,356,65,38,1,1,7,2,11,3,14,5
R18483,福井県,おおい町,7910,3968,3942,7834,3957,3877,1088,536,552,4241,2316,1925,2548,1088,1460,1369,498,871,68,64,138,195,259,3165,3161,7798,1703,999,801,420,384,26,5,21219,2558,463,13,4,0,96,26,1,0,6,62,2,13,12,76,46,11,21,6,68,4179,104,38,0,1065,274,464,0,108,342,13,45,206,272,163,63,276,43,703,252,273,126,92.1,1,12109352,4134657,11142276,1939198,1166794,1003516,65206,0,0,4,52,417,2,33,240,0,0,0,0,0,0,4252,2489,1763,80,45,35,2305,792,1513,366,1051,2758,4,2,7960,31,54,24,0,0,7,3,6,4,4,4
R18501,福井県,若狭町,14003,6702,7301,13894,6640,7254,1728,861,867,7127,3621,3506,5104,2191,2913,2872,1083,1789,85,68,239,257,355,4830,4819,13510,2653,1037,1414,725,582,41,13,17849,5111,736,33,1,0,98,62,1,3,10,154,8,10,18,143,57,9,41,11,77,5926,449,9,0,533,1849,4,5,123,855,40,43,37,599,184,11,829,86,270,459,380,158,83.5,14.8,13500520,1865360,12516665,2566965,928548,830778,0,0,0,9,111,682,2,45,411,0,0,0,0,1,414,7230,3957,3273,189,127,62,4662,1652,3010,653,1901,4654,8,2,13908,460,130,54,1,1,10,3,18,6,16,9
R19201,山梨県,甲府市,189591,92850,96741,180962,88457,92505,21391,10917,10474,108390,55747,52643,54487,22908,31579,30262,11514,18748,4743,1143,2526,6311,6628,87019,86821,182873,45453,35370,19108,10014,11646,822,281,21247,7647,10482,22,0,1,738,688,18,155,128,2609,266,759,578,1364,923,388,910,52,883,100235,174,0,5,5990,10109,502,2602,3540,20526,4579,2504,3367,8784,3299,5307,15959,410,12578,938,847,930,88.8,7.6,88111485,28396548,84130075,38682772,6608904,6537119,0,24,1416,30,647,8914,18,390,5266,0,0,0,0,13,8843,88125,48119,40006,3391,2106,1285,56102,20686,35416,2107,19302,63396,10,2,186573,456,1743,1178,39,11,221,131,719,196,651,46
R19202,山梨県,富士吉田市,46530,22645,23885,44903,21869,23034,5088,2576,2512,26184,13169,13015,14006,6201,7805,7384,2941,4443,437,300,692,1300,1579,18337,18311,45433,10450,5214,4890,2471,1962,175,66,12174,1804,3221,3,2,0,409,488,4,27,39,670,62,120,117,521,264,85,214,7,189,23597,13,12,0,2116,4932,46,328,538,4465,678,445,521,3170,1066,803,2178,269,2017,89,598,352,82.2,8.3,33756015,6422035,31808178,7802657,2394102,2329671,0,4,483,8,182,2107,5,101,1189,0,0,0,0,4,1739,23068,12600,10468,1208,801,407,13551,4759,8792,252,8116,14554,0,1,47459,6528,503,432,12,1,54,33,106,46,115,10
R19204,山梨県,都留市,31016,14949,16067,30122,14542,15580,3133,1607,1526,18015,8917,9098,8772,3913,4859,4538,1846,2692,517,165,417,1047,1134,14044,14027,30413,6416,6079,3023,1507,1327,94,41,16163,2528,1786,9,1,1,185,323,4,11,30,342,18,142,64,196,158,54,111,9,128,14183,55,2,17,941,3568,10,23,670,2739,448,271,269,1052,957,860,1372,62,867,140,733,159,86.7,10.6,19440570,3712389,18707544,4695204,1234498,3433263,0,2,145,7,124,1232,3,59,648,0,0,0,0,1,435,14489,7826,6663,643,386,257,9439,3470,5969,230,4890,9169,1,1,29249,1207,272,159,8,2,18,13,43,13,50,10
R19205,山梨県,山梨市,33435,16081,17354,33005,15877,17128,3754,1932,1822,18013,8962,9051,11396,5015,6381,6102,2424,3678,185,187,563,833,859,13001,12968,32320,8033,3389,3996,1991,1869,99,37,28980,5267,1422,21,2,3,144,140,4,7,24,331,16,55,46,162,131,57,137,16,126,11158,221,5,16,798,1783,21,43,323,2202,184,137,133,1057,613,222,2812,309,279,1519,385,265,92.6,11.5,24750918,4065382,22937821,6468420,2586997,1414819,14874,3,160,9,146,1494,3,69,801,0,0,0,0,2,1022,17034,9030,8004,615,390,225,10145,3731,6414,3102,3249,10482,12,1,33612,258,272,127,5,3,27,15,132,24,104,10
R19206,山梨県,大月市,22512,10924,11588,22208,10779,11429,1657,801,856,11464,5837,5627,9093,4121,4972,4780,1938,2842,170,54,420,421,557,9254,9232,22106,5297,2566,3265,1738,1393,44,11,28025,3748,1165,10,0,0,146,188,11,11,23,214,15,73,41,109,90,36,76,14,108,7923,72,0,0,900,1959,158,40,407,1093,164,155,172,533,311,153,1121,68,617,44,750,154,84.9,14.5,14462611,4358128,13936221,3728991,887598,1378066,0,2,39,5,79,676,2,39,379,0,0,0,0,1,488,10134,5659,4475,500,346,154,9257,3612,5645,186,3150,6587,81,1,22288,1148,180,86,2,1,21,13,26,18,29,5
R19207,山梨県,韮崎市,29067,14500,14567,28547,14264,14283,3164,1654,1510,16909,8806,8103,8906,3982,4924,4432,1822,2610,487,140,354,889,980,11552,11526,28302,6957,3262,3164,1612,1412,91,46,14369,5103,1400,15,0,1,152,174,5,10,32,293,18,77,50,163,104,43,108,16,139,15306,115,0,7,1077,6486,81,45,461,1983,233,189,218,986,553,190,1555,267,860,947,805,184,86.9,9,16617561,5402136,16034297,4827589,1553644,1731851,0,2,161,5,102,1145,2,53,651,0,0,0,0,2,1156,14881,8355,6526,717,465,252,9380,3477,5903,1320,5032,8471,12,1,28467,457,232,126,3,4,38,13,73,18,88,5
R19208,山梨県,南アルプス市,69459,34164,35295,68331,33656,34675,9188,4765,4423,40547,20514,20033,19302,8646,10656,9461,3858,5603,971,480,789,1926,1624,26059,26014,68235,17036,5882,7027,3558,2702,221,89,26414,7084,2573,21,0,3,326,306,5,7,94,542,25,125,70,216,244,88,245,32,224,24337,175,0,48,1693,8660,62,74,1443,4153,368,317,238,1120,802,391,3259,472,1062,1867,1166,409,83.4,3.7,37333449,8832531,34362222,12181185,2331095,3103966,13178,2,228,16,294,3693,8,175,1987,0,0,0,0,2,953,35813,19579,16234,1275,814,461,19241,6902,12339,3171,11489,20689,8,6,71597,641,422,165,14,4,36,28,80,39,95,21
R19209,山梨県,北杜市,44053,21492,22561,43545,21289,22256,4257,2195,2062,22112,11273,10839,17619,7973,9646,9074,3716,5358,506,169,704,1448,1331,18893,18862,42971,11373,5645,6433,3879,3308,96,62,60248,14366,2459,89,1,3,268,226,14,20,50,513,17,95,83,495,159,73,150,38,165,19952,1201,3,14,1120,5537,38,47,872,3234,132,343,486,2757,849,328,1823,215,953,1973,1969,416,83.9,5.5,32636743,7486036,31102970,7998537,3279171,3252626,110678,0,0,9,151,1791,9,124,1087,0,0,0,0,4,1352,21374,11694,9680,738,481,257,15481,5948,9533,3140,5285,12814,8,8,46069,7968,441,275,4,2,30,19,45,21,54,13
R19210,山梨県,甲斐市,75313,37238,38075,73488,36302,37186,9721,4932,4789,42576,21598,20978,19088,8428,10660,9236,3766,5470,965,594,720,2923,2840,31039,30986,73584,18813,9136,7403,3882,3145,332,161,7195,4043,2818,16,0,0,332,208,9,13,37,623,35,278,108,302,301,117,263,12,164,22107,243,0,0,1826,2562,14,355,829,5888,355,648,505,2114,1421,590,3385,211,1161,380,766,376,81.6,6.1,36498093,9207809,34012024,13705700,2597546,4008363,0,3,125,11,293,3962,6,158,2003,0,0,0,0,2,1122,36417,20084,16333,1589,1035,554,21916,8030,13886,909,10574,24747,7,4,76609,1133,479,254,16,4,74,31,83,38,130,21
R19211,山梨県,笛吹市,66947,32447,34500,65266,31707,33559,7915,4029,3886,37628,18890,18738,19870,8698,11172,10372,4176,6196,874,453,940,1906,1974,26916,26866,65517,15694,7830,6856,3400,3348,264,95,20192,8372,2716,37,2,0,267,242,5,16,77,621,25,175,78,344,239,63,245,21,259,27575,291,11,0,1650,4700,46,634,1367,4857,277,395,473,3450,1553,347,5384,350,1790,3022,590,371,90.7,8.2,42157968,8507422,39644192,13211146,4015126,3179411,0,1,46,14,289,3106,5,132,1551,0,0,0,0,1,670,35265,18852,16413,1208,712,496,16832,5855,10977,5536,7318,21419,6,6,67776,2241,465,245,9,8,42,30,116,37,126,25
